inn,name,revenue_year,revenue,segment_tag,source,rating_ref,okved_main,employees,site,description,region,contacts,email,address,founded,specializations,services,img_src,img_alt
,VBI,,,"Фокусируется на медийной рекламе, поисковой аналитике, автоматизации маркетинга и управлении репутацией.;Digital-агентство для крупного и растущего бизнеса.;Среди клиентов — Chery, CDEK.Shopping, Genotek, РЖД-Медицина и Avilon.",directline.pro,https://www.directline.pro/recommend/vbi/373669/10/,,,https://vbi.ru/,"Фокусируется на медийной рекламе, поисковой аналитике, автоматизации маркетинга и управлении репутацией. Digital-агентство для крупного и растущего бизнеса. Среди клиентов — Chery, CDEK.Shopping, Genotek, РЖД-Медицина и Avilon.","Москва, Тамбов",,,,2012,,,https://www.directline.pro/wp-content/uploads/2025/06/vbi-222x126.png,
,Текарт,,,,pavezlo.ru,https://techart.ru,,,https://techart.ru,,,,,,,,,,
,SVISTUNOV,,,,pavezlo.ru,https://svistunoff.com,,,https://svistunoff.com,,,,,,,,,,
,INRAISE,,,,pavezlo.ru,https://inraise.ru,,,https://inraise.ru,,,,,,,,,,
,Demis Group,,,,pavezlo.ru,https://www.demis.ru,,,https://www.demis.ru,,,,,,,,,,
,Mamontov.top,,,,pavezlo.ru,https://mamontov.top,,,https://mamontov.top,,,,,,,,,,
,CoffeeStudio,,,,pavezlo.ru,https://coffeestudio.ru,,,https://coffeestudio.ru,,,,,,,,,,
,Реаспект,,,,pavezlo.ru,https://www.reaspekt.ru,,,https://www.reaspekt.ru,,,,,,,,,,
,Импульс-Маркетинг,,,,pavezlo.ru,https://impulsit.ru,,,https://impulsit.ru,,,,,,,,,,
,Advertalyze,,,,pavezlo.ru,https://advertalyze.ru,,,https://advertalyze.ru,,,,,,,,,,
,IT-Градиент,,,,pavezlo.ru,https://it-gradient.ru,,,https://it-gradient.ru,,,,,,,,,,
,WOM MEDIA,,,,pavezlo.ru,https://wom-media.ru,,,https://wom-media.ru,,,,,,,,,,
,PANDA Digital Group,,,,pavezlo.ru,https://pandasmm.ru,,,https://pandasmm.ru,,,,,,,,,,
,ArrowMedia,,,,pavezlo.ru,https://arwm.ru,,,https://arwm.ru,,,,,,,,,,
,Action,,,,pavezlo.ru,https://action.ru/?from,,,https://action.ru/?from,,,,,,,,,,
,KIT SOLER,,,,pavezlo.ru,https://kitsoler.ru,,,https://kitsoler.ru,,,,,,,,,,
,Точно,,,,pavezlo.ru,https://tochnoagency.ru/,,,https://tochnoagency.ru/,,,,,,,,,,
,SV Digital,,,,pavezlo.ru,https://sv-digital.com,,,https://sv-digital.com,,,,,,,,,,
,HEIGHT LINE,,,,pavezlo.ru,https://hl2b.ru,,,https://hl2b.ru,,,,,,,,,,
,Business Pulse,,,,pavezlo.ru,https://business-pulse.ru,,,https://business-pulse.ru,,,,,,,,,,
,Карбуст,,,,pavezlo.ru,https://karboost.ru,,,https://karboost.ru,,,,,,,,,,
,T4ka.ru,,,,pavezlo.ru,https://t4ka.ru/,,,https://t4ka.ru/,,,,,,,,,,
,Импульс,,,,pavezlo.ru,https://impulse-marketing.ru/,,,https://impulse-marketing.ru/,,,,,,,,,,
,Marsa,,,,pavezlo.ru,https://marsa.pro/,,,https://marsa.pro/,,,,,,,,,,
,IT agency,,,,pavezlo.ru,https://www.it-agency.ru/,,,https://www.it-agency.ru/,,,,,,,,,,
,MD Marketing,,,,pavezlo.ru,https://mdmarketing.ru,,,https://mdmarketing.ru,,,,,,,,,,
,Sda,,,,pavezlo.ru,https://sdamarketing.ru/,,,https://sdamarketing.ru/,,,,,,,,,,
,ROIburo,,,,pavezlo.ru,https://roiburo.ru,,,https://roiburo.ru,,,,,,,,,,
,СайтКрафт,,,,pavezlo.ru,https://saitcraft.ru/,,,https://saitcraft.ru/,,,,,,,,,,
,Сектор бизнеса,,,,pavezlo.ru,https://agency.sector.business/,,,https://agency.sector.business/,,,,,,,,,,
,B2B-creative,,,,pavezlo.ru,https://b2b-creative.ru/,,,https://b2b-creative.ru/,,,,,,,,,,
,SETEVIE,,,,pavezlo.ru,https://setevie.com,,,https://setevie.com,,,,,,,,,,
,Wow,,,,pavezlo.ru,https://wow.wearewowagency.com,,,https://wow.wearewowagency.com,,,,,,,,,,
,AXE MARKETING,,,,pavezlo.ru,https://axemarketing.ru,,,https://axemarketing.ru,,,,,,,,,,
,Толстенко маркетинг,,,,pavezlo.ru,https://tolstenko-marketing.ru,,,https://tolstenko-marketing.ru,,,,,,,,,,
,Бородатый маркетинг,,,,pavezlo.ru,https://bearded-marketing.ru,,,https://bearded-marketing.ru,,,,,,,,,,
,INTERVOLGA,,,,pavezlo.ru,https://www.intervolga.ru/adv/,,,https://www.intervolga.ru/adv/,,,,,,,,,,
,Девятка,,,,pavezlo.ru,https://marketingnine.ru/?utm_source=marketing-tech,,,https://marketingnine.ru/?utm_source=marketing-tech,,,,,,,,,,
,Trafficmall,,,,pavezlo.ru,https://trafficmall.site/,,,https://trafficmall.site/,,,,,,,,,,
,4 Пикселя,,,,pavezlo.ru,https://4px.ru/,,,https://4px.ru/,,,,,,,,,,
,НОВОЕ АГЕНТСТВО,,,,pavezlo.ru,https://novoe.online/services/,,,https://novoe.online/services/,,,,,,,,,,
,Акцент на результат,,,,pavezlo.ru,https://www.aaccent.ru/spb/,,,https://www.aaccent.ru/spb/,,Санкт-Петербург,,,,,,,,
,Collaba Digital,,,,pavezlo.ru,https://collaba.digital/,,,https://collaba.digital/,,Санкт-Петербург,,,,,,,,
,KOTTE;,,,,pavezlo.ru,https://kotte.agency/,,,https://kotte.agency/,,Санкт-Петербург,,,,,,,,
,ВМЕСТЕ,,,,pavezlo.ru,https://vmeste.marketing,,,https://vmeste.marketing,,Санкт-Петербург,,,,,,,,
,Yummies,,,,pavezlo.ru,https://yummies.ru,,,https://yummies.ru,,Санкт-Петербург,,,,,,,,
,Inbox marketing,,,,pavezlo.ru,https://inbox-marketing.ru,,,https://inbox-marketing.ru,,Санкт-Петербург,,,,,,,,
,Hastra,,,,pavezlo.ru,https://hastra.ru/sankt-peterburg/,,,https://hastra.ru/sankt-peterburg/,,Санкт-Петербург,,,,,,,,
,Setevie Agency,,,,pavezlo.ru,https://setevie.com,,,https://setevie.com,,Санкт-Петербург,,,,,,,,
,D4B.media,,,,pavezlo.ru,https://www.d4bmedia.com/,,,https://www.d4bmedia.com/,,Санкт-Петербург,,,,,,,,
,Lio;,,,,pavezlo.ru,https://l-io.ru,,,https://l-io.ru,,Санкт-Петербург,,,,,,,,
,Ай кью,,,,pavezlo.ru,https://iqdesign.ru/,,,https://iqdesign.ru/,,Санкт-Петербург,,,,,,,,
,imakers,,,,pavezlo.ru,https://imakers.ru/,,,https://imakers.ru/,,Санкт-Петербург,,,,,,,,
,Соломка,,,,pavezlo.ru,https://solomka.biz/?yclid=11264805627982249983&utm_term=---autotargeting&utm_campaign=115957217&utm_source=yandex&utm_content=16664296043&utm_medium=rsy_401,,,https://solomka.biz/?yclid=11264805627982249983&utm_term=---autotargeting&utm_campaign=115957217&utm_source=yandex&utm_content=16664296043&utm_medium=rsy_401,,Санкт-Петербург,,,,,,,,
,SDA,,,,pavezlo.ru,https://sdamarketing.ru,,,https://sdamarketing.ru,,Санкт-Петербург,,,,,,,,
,Voropaev Media,,,,pavezlo.ru,https://voropaevmedia.com/,,,https://voropaevmedia.com/,,Санкт-Петербург,,,,,,,,
,Mobisharks,,,,pavezlo.ru,https://mobisharks.com/en,,,https://mobisharks.com/en,,Москва,,,,,,,,
,Tandem Group,,,,pavezlo.ru,https://tandemdigital.ru,,,https://tandemdigital.ru,,Москва,,,,,,,,
,Комплето,,,,pavezlo.ru,https://www.completo.ru,,,https://www.completo.ru,,Москва,,,,,,,,
,RapidWeb.Me,,,,pavezlo.ru,https://rapidweb.me/ru/,,,https://rapidweb.me/ru/,,Москва,,,,,,,,
,A1 team,,,,pavezlo.ru,https://www.a1-team.ru/,,,https://www.a1-team.ru/,,Москва,,,,,,,,
,KURAGA MARKETING,,,,pavezlo.ru,https://kuraga.agency,,,https://kuraga.agency,,Москва,,,,,,,,
,E-Promo,,,,pavezlo.ru,https://www.e-promo.ru,,,https://www.e-promo.ru,,Москва,,,,,,,,
,Just Up agency,,,,pavezlo.ru,https://justupagency.ru/,,,https://justupagency.ru/,,Москва,,,,,,,,
,ЗЕКСЛЕР,,,,pavezlo.ru,https://zexler.ru,,,https://zexler.ru,,Москва,,,,,,,,
,The кeys,,,,pavezlo.ru,https://thekeysmarketing.ru/,,,https://thekeysmarketing.ru/,,Москва,,,,,,,,
,Twiga,,,,pavezlo.ru,https://twiga.ru/,,,https://twiga.ru/,,Москва,,,,,,,,
,Green-sport,,,,pavezlo.ru,https://green-sport.ru/,,,https://green-sport.ru/,,Москва,,,,,,,,
